CMDLINE python example_L2T_STARS_with_download.py
MEM 0.046875 1733196737.2649
MEM 16.328125 1733196737.3701
MEM 28.078125 1733196737.4753
MEM 39.250000 1733196737.5806
MEM 40.843750 1733196737.6815
MEM 43.156250 1733196737.7866
MEM 44.687500 1733196737.8918
MEM 47.265625 1733196737.9971
MEM 49.171875 1733196738.1023
MEM 50.921875 1733196738.2075
MEM 56.421875 1733196738.3127
MEM 62.234375 1733196738.4180
MEM 66.125000 1733196738.5231
MEM 70.390625 1733196738.6255
MEM 74.781250 1733196738.7308
MEM 76.718750 1733196738.8359
MEM 76.765625 1733196738.9411
MEM 78.500000 1733196739.0430
MEM 84.687500 1733196739.1481
MEM 84.953125 1733196739.2534
MEM 84.953125 1733196739.3587
MEM 84.984375 1733196739.4614
MEM 85.062500 1733196739.5618
MEM 85.125000 1733196739.6627
MEM 85.187500 1733196739.7644
MEM 85.250000 1733196739.8681
MEM 85.312500 1733196739.9733
MEM 92.515625 1733196740.0785
MEM 96.234375 1733196740.1837
MEM 99.343750 1733196740.2889
MEM 105.750000 1733196740.3940
MEM 106.781250 1733196740.4965
MEM 110.656250 1733196740.6016
MEM 112.718750 1733196740.7068
MEM 114.375000 1733196740.8120
MEM 116.328125 1733196740.9171
MEM 116.906250 1733196741.0223
MEM 118.250000 1733196741.1275
MEM 119.625000 1733196741.2327
MEM 121.531250 1733196741.3379
MEM 123.468750 1733196741.4431
MEM 124.953125 1733196741.5483
MEM 128.171875 1733196741.6535
MEM 141.046875 1733196741.7587
MEM 147.171875 1733196741.8631
MEM 149.140625 1733196741.9683
MEM 156.375000 1733196742.0735
MEM 157.968750 1733196742.1788
MEM 160.906250 1733196742.2840
MEM 162.484375 1733196742.3892
MEM 163.890625 1733196742.4944
MEM 166.234375 1733196742.5997
MEM 171.406250 1733196742.7049
MEM 174.187500 1733196742.8100
MEM 176.531250 1733196742.9152
MEM 179.593750 1733196743.0204
MEM 183.078125 1733196743.1244
MEM 190.109375 1733196743.2296
MEM 196.500000 1733196743.3348
MEM 199.187500 1733196743.4400
MEM 205.250000 1733196743.5452
MEM 208.734375 1733196743.6504
MEM 220.218750 1733196743.7556
MEM 221.359375 1733196743.8608
MEM 221.359375 1733196743.9660
MEM 221.359375 1733196744.0705
MEM 225.265625 1733196744.1758
MEM 229.562500 1733196744.2811
MEM 233.875000 1733196744.3865
MEM 238.015625 1733196744.4871
MEM 262.921875 1733196744.5923
MEM 263.343750 1733196744.6975
MEM 263.343750 1733196744.8028
MEM 263.343750 1733196744.9079
MEM 316.750000 1733196745.0121
MEM 316.750000 1733196745.1173
MEM 316.750000 1733196745.2226
MEM 328.421875 1733196745.3278
MEM 328.421875 1733196745.4330
MEM 328.421875 1733196745.5384
MEM 328.578125 1733196745.6418
MEM 328.609375 1733196745.7450
MEM 328.609375 1733196745.8467
MEM 328.609375 1733196745.9519
MEM 328.640625 1733196746.0572
MEM 328.640625 1733196746.1596
MEM 328.656250 1733196746.2614
MEM 328.718750 1733196746.3657
MEM 328.718750 1733196746.4710
MEM 328.718750 1733196746.5764
MEM 328.718750 1733196746.6814
MEM 328.718750 1733196746.7852
MEM 328.718750 1733196746.8904
MEM 328.718750 1733196746.9953
MEM 328.718750 1733196747.1008
MEM 328.718750 1733196747.2029
MEM 328.718750 1733196747.3082
MEM 328.750000 1733196747.4132
MEM 328.750000 1733196747.5163
MEM 328.750000 1733196747.6176
MEM 328.765625 1733196747.7218
