CMDLINE python example_L2T_STARS_with_download.py
MEM 1345.796875 1733253991.3103
MEM 1346.218750 1733253991.4119
MEM 1346.218750 1733253991.5171
MEM 1346.218750 1733253991.6222
MEM 1346.218750 1733253991.7274
MEM 1346.218750 1733253991.8278
MEM 1346.218750 1733253991.9332
MEM 1346.218750 1733253992.0372
MEM 1346.218750 1733253992.1377
MEM 1346.218750 1733253992.2431
MEM 1346.218750 1733253992.3451
MEM 1346.218750 1733253992.4494
MEM 1357.015625 1733253992.5547
MEM 1357.031250 1733253992.6599
MEM 1357.031250 1733253992.7651
MEM 1357.031250 1733253992.8704
MEM 1357.218750 1733253992.9756
MEM 1357.218750 1733253993.0782
MEM 1380.046875 1733253993.1834
MEM 1380.046875 1733253993.2887
MEM 1388.562500 1733253993.3939
MEM 1388.562500 1733253993.4992
MEM 1388.562500 1733253993.6043
MEM 1388.578125 1733253993.7095
MEM 1388.578125 1733253993.8129
MEM 1424.218750 1733253993.9182
MEM 1424.218750 1733253994.0185
MEM 1449.796875 1733253994.1237
MEM 1449.796875 1733253994.2290
MEM 1460.515625 1733253994.3342
MEM 1475.359375 1733253994.4394
MEM 1475.359375 1733253994.5446
MEM 1500.921875 1733253994.6462
MEM 1500.921875 1733253994.7514
MEM 1500.921875 1733253994.8566
MEM 1500.921875 1733253994.9618
MEM 1500.921875 1733253995.0671
MEM 1504.718750 1733253995.1723
MEM 1505.640625 1733253995.2775
MEM 1505.656250 1733253995.3827
MEM 1506.156250 1733253995.4879
MEM 1506.156250 1733253995.5884
MEM 1506.156250 1733253995.6894
MEM 1506.156250 1733253995.7928
MEM 1506.156250 1733253995.8982
MEM 1506.156250 1733253996.0040
MEM 1506.156250 1733253996.1059
MEM 1506.156250 1733253996.2101
MEM 1506.156250 1733253996.3143
MEM 1506.218750 1733253996.4147
MEM 1506.625000 1733253996.5200
MEM 1506.625000 1733253996.6252
MEM 1506.625000 1733253996.7282
MEM 1506.625000 1733253996.8334
MEM 1506.625000 1733253996.9387
MEM 1506.625000 1733253997.0439
MEM 1506.625000 1733253997.1491
